"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: aResourcesXitem","Param: bDifficulty","Param: cSample"
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.hTestGreedyFI","avgt",1,1,4.866336,NaN,"ms/op",OR10x250-,0.50,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.hTestGreedyFI","avgt",1,1,11.021924,NaN,"ms/op",OR10x250-,0.50,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.hTestGreedyFI","avgt",1,1,5.847374,NaN,"ms/op",OR10x250-,0.50,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.hTestGreedyFI","avgt",1,1,18.234736,NaN,"ms/op",OR10x250-,0.75,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.hTestGreedyFI","avgt",1,1,7.345700,NaN,"ms/op",OR10x250-,0.75,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.hTestGreedyFI","avgt",1,1,15.946040,NaN,"ms/op",OR10x250-,0.75,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.hTestGreedyFI","avgt",1,1,11.016244,NaN,"ms/op",OR10x250-,0.75,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.hTestGreedyFI","avgt",1,1,8.909339,NaN,"ms/op",OR10x250-,0.75,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.hTestGreedyFI","avgt",1,1,6.315125,NaN,"ms/op",OR10x250-,0.75,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.hTestGreedyFI","avgt",1,1,7.289395,NaN,"ms/op",OR10x250-,0.75,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.hTestGreedyFI","avgt",1,1,8.446157,NaN,"ms/op",OR10x250-,0.75,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.hTestGreedyFI","avgt",1,1,11.847258,NaN,"ms/op",OR10x250-,0.75,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.hTestGreedyFI","avgt",1,1,3.574366,NaN,"ms/op",OR10x250-,0.75,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,1.490038,NaN,"ms/op",OR10x100-,0.25,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,1.466127,NaN,"ms/op",OR10x100-,0.25,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,0.780615,NaN,"ms/op",OR10x100-,0.25,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,0.519813,NaN,"ms/op",OR10x100-,0.25,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,0.557473,NaN,"ms/op",OR10x100-,0.25,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,0.900734,NaN,"ms/op",OR10x100-,0.25,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,0.998413,NaN,"ms/op",OR10x100-,0.25,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,1.169767,NaN,"ms/op",OR10x100-,0.25,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,0.575739,NaN,"ms/op",OR10x100-,0.25,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,0.540296,NaN,"ms/op",OR10x100-,0.25,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,0.975186,NaN,"ms/op",OR10x100-,0.50,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,1.477169,NaN,"ms/op",OR10x100-,0.50,_2
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,1.502618,NaN,"ms/op",OR10x100-,0.50,_3
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,2.511216,NaN,"ms/op",OR10x100-,0.50,_4
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,1.246613,NaN,"ms/op",OR10x100-,0.50,_5
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,0.795673,NaN,"ms/op",OR10x100-,0.50,_6
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,1.836457,NaN,"ms/op",OR10x100-,0.50,_7
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,1.148212,NaN,"ms/op",OR10x100-,0.50,_8
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,1.006157,NaN,"ms/op",OR10x100-,0.50,_9
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,1.500280,NaN,"ms/op",OR10x100-,0.50,_10
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,0.569535,NaN,"ms/op",OR10x100-,0.75,_1
"be.ac.ulb.kubedaar.knapsack.problem.berk.MyBenchmark.iTestToyodaFI","avgt",1,1,1.049752,NaN,"ms/op",OR10x100-,0.75,_2
